,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,12,16,0,9,mindegree,"   l2n1   l0n2  l1n1   l0n0   l1n2   l3n0   l2n2         p
0  True  False  True  False  False  False  False  0.061486",18,16,16,0.1980607509613037
0,No,12,16,0,9,mindegree,"    l1n2   l0n3   l2n1  l2n3   l1n0   l0n1         p
0  False  False  False  True  False  False  0.101265",42,36,16,0.24569272994995117
0,No,12,16,0,9,mindegree,"    l1n0   l1n3   l2n1  l2n0  l3n3   l2n3   l0n0   l0n2         p
0  False  False  False  True  True  False  False  False  0.084731",86,60,46,0.35213780403137207
0,No,12,16,8,1,random,"   l3n2         p
0  True  0.472177",38,52,2,0.24533510208129883
0,No,12,16,8,1,random,"   l0n1         p
0  True  0.207295",2,12,2,0.12199997901916504
0,No,12,16,8,1,random,"   l2n1         p
0  True  0.022835",18,28,2,0.30989837646484375
0,No,12,16,8,1,minfill,"   l2n1         p
0  True  0.010617",34,42,2,0.3367342948913574
0,No,12,16,8,1,minfill,"    l2n0         p
0  False  0.000899",20,30,2,0.6634950637817383
0,No,12,16,8,1,minfill,"    l0n1      p
0  False  0.176",22,36,2,0.3510458469390869
0,No,12,16,8,1,mindegree,"          p
0  0.004211",22,30,0,0.19499969482421875
0,No,12,16,8,1,mindegree,"   l2n3         p
0  True  0.232609",14,26,2,0.2513539791107178
0,No,12,16,8,1,mindegree,"     p
0  0.0",10,18,0,0.1579113006591797
0,No,12,16,8,9,random,"   l2n1  l0n1  l1n3   l0n2   l1n2  l3n1  l1n0         p
0  True  True  True  False  False  True  True  0.141871",22,14,24,0.38519787788391113
0,No,12,16,8,9,random,"   l1n0  l3n1   l2n1   l3n0        p
0  True  True  False  False  0.00652",12,22,10,0.28537535667419434
0,No,12,16,8,9,random,"    l3n2   l1n3  l3n1  l1n1  l0n3  l0n1  l0n2         p
0  False  False  True  True  True  True  True  0.010143",22,24,16,0.27495265007019043
0,No,12,16,8,9,minfill,"    l1n2   l0n2   l0n3   l3n1  l3n0  l1n3         p
0  False  False  False  False  True  True  0.006107",30,36,12,0.4551699161529541
0,No,12,16,8,9,minfill,"   l3n0  l1n3   l1n2  l0n3  l0n2   l3n3  l2n3  l3n1         p
0  True  True  False  True  True  False  True  True  0.015419",24,24,20,0.8802394866943359
0,No,12,16,8,9,minfill,"   l3n3   l1n3  l0n1   l1n1  l3n1   l0n0         p
0  True  False  True  False  True  False  0.136467",24,22,16,0.5227537155151367
0,No,12,16,8,9,mindegree,"    l2n2   l0n2  l2n1   l2n3   l3n2   l0n1         p
0  False  False  True  False  False  False  0.043583",8,14,12,0.38874197006225586
0,No,12,16,8,9,mindegree,"    l0n0  l0n2   l1n3   l2n0  l1n1  l3n3   l3n1         p
0  False  True  False  False  True  True  False  0.047008",18,16,16,0.5805044174194336
0,No,12,16,8,9,mindegree,"    l1n1   l3n0   l0n0   l2n2  l1n3   l3n2         p
0  False  False  False  False  True  False  0.004045",34,28,22,0.2349991798400879
