,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,6,9,0,1,mindegree,"      p   l0n1
0  0.63  False",0,0,2,0.005002260208129883
0,No,6,9,0,1,mindegree,"          p  l2n0
0  0.695314  True",24,24,2,0.029027462005615234
0,No,6,9,0,1,mindegree,"      p   l0n2
0  0.56  False",0,0,2,0.005001068115234375
0,No,6,9,0,1,mindegree,"      p   l0n1
0  0.75  False",0,0,2,0.004000663757324219
0,No,6,9,0,1,mindegree,"        p   l1n0
0  0.8608  False",4,4,2,0.010000467300415039
0,No,6,9,0,1,mindegree,"         p   l2n2
0  0.80283  False",8,8,2,0.016000747680664062
0,No,6,9,0,1,mindegree,"      p   l0n2
0  0.84  False",0,0,2,0.00500035285949707
0,No,6,9,0,1,mindegree,"         p   l2n0
0  0.75416  False",16,16,2,0.02100372314453125
0,No,6,9,0,1,mindegree,"          p   l2n2
0  0.501861  False",24,24,2,0.028000831604003906
0,No,6,9,0,1,mindegree,"         p   l1n1
0  0.54124  False",12,12,2,0.01600027084350586
0,No,6,9,0,1,mindegree,"      p   l0n1
0  0.63  False",0,0,2,0.004000186920166016
0,No,6,9,0,1,mindegree,"      p  l1n0
0  0.86  True",0,0,2,0.003999233245849609
0,No,6,9,0,1,mindegree,"          p   l1n1
0  0.516021  False",12,12,2,0.02398681640625
0,No,6,9,0,1,mindegree,"      p  l0n1
0  0.66  True",0,0,2,0.003998994827270508
0,No,6,9,0,1,mindegree,"     p   l1n2
0  0.5  False
1  0.5   True",0,0,2,0.00500035285949707
0,No,6,9,0,1,mindegree,"      p   l0n0
0  0.78  False",0,0,2,0.005000591278076172
0,No,6,9,0,1,mindegree,"          p  l2n2
0  0.758384  True",8,8,2,0.014998674392700195
0,No,6,9,0,1,mindegree,"        p   l1n0
0  0.5562  False",4,4,2,0.01098012924194336
0,No,6,9,0,1,mindegree,"          p   l2n1
0  0.506736  False",8,8,2,0.014986753463745117
0,No,6,9,0,1,mindegree,"      p   l1n1
0  0.72  False",0,0,2,0.0050048828125
0,No,6,9,0,1,mindegree,"        p   l1n0
0  0.7592  False",4,4,2,0.011003971099853516
0,No,6,9,0,1,mindegree,"       p  l2n2
0  0.682  True",4,4,2,0.009971141815185547
0,No,6,9,0,1,mindegree,"          p   l2n0
0  0.531485  False",24,24,2,0.030997037887573242
0,No,6,9,0,1,mindegree,"      p  l0n2
0  0.74  True",0,0,2,0.0049991607666015625
0,No,6,9,0,1,mindegree,"          p   l2n1
0  0.709441  False",20,20,2,0.028998613357543945
0,No,6,9,0,5,random,"    l2n0   l0n0  l1n2   l0n1         p
0  False  False  True  False  0.261546",4,0,10,0.03003835678100586
0,No,6,9,0,5,random,"    l2n2   l1n0   l1n1  l0n0        p
0  False  False  False  True  0.21162",18,16,10,0.0480036735534668
0,No,6,9,0,5,random,"   l2n2  l0n1  l1n1   l2n0         p
0  True  True  True  False  0.326947",72,60,17,0.06704020500183105
0,No,6,9,0,5,random,"          p   l1n2   l0n2   l1n1   l0n1   l2n1
0  0.356181  False  False  False  False  False",81,20,64,0.06999874114990234
0,No,6,9,0,5,random,"    l1n1   l2n1  l2n2   l2n0        p
0  False  False  True  False  0.19454",32,28,10,0.06304025650024414
0,No,6,9,0,5,random,"    l0n1   l0n0  l2n1  l1n2         p
0  False  False  True  True  0.277711",2,0,10,0.03100132942199707
0,No,6,9,0,5,random,"   l0n0   l2n2   l2n0  l0n1         p
0  True  False  False  True  0.181167",8,8,8,0.03600335121154785
0,No,6,9,0,5,random,"   l1n2   l1n1  l0n2  l0n0         p
0  True  False  True  True  0.414744",0,0,8,0.026000261306762695
0,No,6,9,0,5,random,"   l2n2   l0n0  l2n1  l1n0  l1n2         p
0  True  False  True  True  True  0.098876",17,4,23,0.05399799346923828
0,No,6,9,0,5,random,"   l1n1  l2n0   l1n0  l1n2         p
0  True  True  False  True  0.124021",28,28,8,0.04199624061584473
0,No,6,9,0,5,random,"   l2n0   l2n1   l1n2         p
0  True  False  False  0.434626",10,8,8,0.0320429801940918
0,No,6,9,0,5,random,"   l2n1  l0n1   l0n0        p
0  True  True  False  0.22906",34,32,8,0.04300069808959961
0,No,6,9,0,5,random,"    l2n0   l0n1  l1n1         p
0  False  False  True  0.233071",28,24,8,0.05101132392883301
0,No,6,9,0,5,random,"   l2n2   l1n1   l1n0   l1n2  l2n1         p
0  True  False  False  False  True  0.149678",26,12,22,0.07601523399353027
0,No,6,9,0,5,random,"          p  l1n0  l2n0   l0n2   l0n0
1  0.328544  True  True  False  False",42,16,34,0.054039716720581055
0,No,6,9,0,5,random,"    l1n0  l0n2  l2n2   l2n1         p
0  False  True  True  False  0.272342",44,32,16,0.056000471115112305
0,No,6,9,0,5,random,"    l1n2  l2n0  l0n1         p
0  False  True  True  0.368379",16,12,8,0.03000187873840332
0,No,6,9,0,5,random,"    l0n0  l2n0   l2n2  l0n2        p
0  False  True  False  True  0.28566",12,12,8,0.034998416900634766
