,Memory Error,Number Edges,Number Nodes,Number Evidence,Number MAP variables: ,Heuristic,Instantiation,rows multiplied,rows summed out,rows maxed out,seconds elapsed
0,No,12,16,0,0,mindegree,"    l3n0  l3n2  l1n3   l0n0   l0n1  l0n2   l1n1  l1n2   l2n0   l2n3   l3n1  \
0  False  True  True  False  False  True  False  True  False  False  False   

    l0n3   l1n0  l2n1   l2n2   l3n3         p  
0  False  False  True  False  False  0.011278  ",92.0,0.0,107.0,0.9204506874084473
0,No,12,16,0,0,mindegree,"   l3n0   l2n0   l3n3  l2n1   l3n1  l1n2   l2n2   l3n2   l0n0   l0n1   l0n3  \
0  True  False  False  True  False  True  False  False  False  False  False   

    l0n2   l1n0   l1n1  l1n3  l2n3         p  
0  False  False  False  True  True  0.012425  ",121.0,0.0,135.0,1.1515350341796875
0,No,12,16,8,0,random,"    l3n1   l0n0   l1n0   l0n3  l1n3  l2n0   l3n3   l0n2  l3n0   l2n2   l3n2  \
0  False  False  False  False  True  True  False  False  True  False  False   

   l0n1  l1n2         p  
0  True  True  0.001514  ",20.0,0.0,38.0,0.4230611324310303
0,No,12,16,8,0,random,"    l0n3  l3n0   l0n2  l1n0  l0n0   l0n1   l1n2   l2n2   l3n2   l3n1   l1n3  \
0  False  True  False  True  True  False  False  False  False  False  False   

    l2n3   l2n0  l3n3         p  
0  False  False  True  0.000024  ",28.0,0.0,44.0,0.5418698787689209
0,No,12,16,8,0,random,"   l3n3   l2n0   l1n1  l0n1  l0n3  l1n0  l0n2   l1n3  l2n1  l3n2   l1n2  \
0  True  False  False  True  True  True  True  False  True  True  False   

    l0n0         p  
0  False  0.000331  ",16.0,0.0,32.0,0.4990534782409668
0,No,12,16,8,0,minfill,"    l0n0  l0n3  l1n1   l2n0   l3n2   l1n0   l2n2   l1n3  l2n1  l3n3   l2n3  \
0  False  True  True  False  False  False  False  False  True  True  False   

    l3n1   l0n1  l0n2   l1n2         p  
0  False  False  True  False  0.007323  ",30.0,0.0,46.0,0.8673574924468994
0,No,12,16,8,0,minfill,"    l0n1  l1n3  l2n3   l1n1   l2n2  l2n0   l3n1   l1n2  l2n1  l0n0  l0n2  \
0  False  True  True  False  False  True  False  False  True  True  True   

   l0n3   l1n0        p  
0  True  False  0.00239  ",50.0,0.0,64.0,0.6420514583587646
0,No,12,16,8,0,minfill,"   l0n0  l0n1   l0n2   l1n3   l3n0  l3n1  l0n3   l1n0  l1n2   l2n2  l2n3  \
0  True  True  False  False  False  True  True  False  True  False  True   

          p  
0  0.000695  ",18.0,0.0,28.0,0.6731338500976562
0,No,12,16,8,0,mindegree,"    l0n2   l2n3   l3n3  l1n1  l2n1  l1n3   l2n2   l0n0  l1n2  l2n0   l3n1  \
0  False  False  False  True  True  True  False  False  True  True  False   

    l0n1  l0n3   l1n0         p  
0  False  True  False  0.001573  ",34.0,0.0,49.0,0.38432836532592773
0,No,12,16,8,0,mindegree,"    l0n0   l0n2  l0n3  l2n3   l3n1  l3n3   l0n1   l1n2  l1n0  l2n0  l2n2  \
0  False  False  True  True  False  True  False  False  True  True  True   

   l3n0         p  
0  True  0.000617  ",16.0,0.0,30.0,0.4436008930206299
0,No,12,16,8,0,mindegree,"    l0n1   l1n3   l3n0   l0n2   l1n2   l0n3  l1n0  l2n3  l2n0   l3n2   l0n0  \
0  False  False  False  False  False  False  True  True  True  False  False   

   l1n1  l2n2  l3n3         p  
0  True  True  True  0.014316  ",28.0,0.0,42.0,0.4190092086791992
